new,reviewer,id,full_text_file,doi,title,what species is the focus?,what lifestage is the focus?, where is the study located? ,what kinds of cover are described?,how is cover quantified?,"how is habitat use by fish measured (e.g., field method and metric)?",how does cover influence juvenile rearing? ,what are the primary drivers of juvenile rearing/presence/recovery? ,should this article be included in the systematic review?,why? use categories from categories doc,updated why?
,LA,1,01_gard_2023a,10.51492/cfwj.109.12,Central Valley anadromous salmonid habitat suitability criteria,"Chinook salmon, steelhead trout","spawning, rearing (juvenile and fry)",California (Central Valley),"defined cover coding system (cobble, boulder, fine woody vegetation, fine woody vegetation + overhead, branches, branches + overhead, log, log + overhead, overhead cover, undercut bank, aquatic vegetation, aquatic vegetation + overhead, rip-rap)
","""The first step in the development of the cover criteria was to group cover codes, so that there were no significant differences within the groups and a significant difference between the groups, using Pearson’s test for association. Categorical data (substrate and cover) are developed into HSC by calculating the frequencies for each substrate or cover code, and then dividing the frequencies by the highest frequency cover or substrate code, so that the highest HSI value is 1.0. For the Sacramento River, effects of availability on cover use were addressed by subsampling equal areas with and without woody cover... This technique could not be used for the Yuba River and Clear Creek, due to the limited availability of woody cover. As a result, the HSI for each cover group was calculated by dividing the percent of occupied locations in each group by the percent of occupied locations in the group with the highest percent of occupied locations.""","spawning - wading and getting direct measurements at redds (shallow), video (deep)
rearing - snorkel surveys/SCUBA, depending on water depth (dropping numbered tags at fish locations, recording fish size/species/cover code, then measuring depth, velocity, and adjacent velocity at each tag; presence/absence includes sampling unoccupied locations)","juveniles showed preferences for branches, branches + overhead, logs, logs + overhead, undercut banks; natural complexity was important; in Clear Creek, cobble was also preferred/optimal","""for anadromous salmonids, preferred habitat conditions are assumed to translate into increased growth and survival"" (stated but untested assumption); paper suggests that cover allows for food availability via drift, using cover-provided velocity refuges; importantly, this paper evaluates habitat selection but not habitat's influence on fish outcomes (growth, survival, etc.)","yes - directly applicable, full treatment and discussion of cover related to observed Central Valley salmonid habitat preferences across multiple tributaries/rivers","3a, 5",
,LA,2,02_gard_2023b,10.51492/cfwj.109.14,Development of habitat suitability criteria for macroinvertebrate community metrics for use in habitat restoration projects,"Chinook salmon, a variety of macroinvertebrates (baetid, chironomid, hydropsychid)","rearing, indirectly as related to value of macroinvertebrate availablility",California (Sacramento River between Keswick Reservoir/Dam and Battle Creek),N/A - substrate discussed but not really a discussion of cover,N/A - cover not meaningfully defined or quantified,N/A - fish habitat use is not measured,N/A - not evaluated,N/A - paper frames macroinvertebrate biomass as a potential food limitation for juvenile salmonids but does not analyze juvenile rearing drivers directly,no - this paper is about macroinvertebrates and doesn't evaluate cover,1a,
,LA,3,03_maki-petays_2002,10.1139/F01-209,Transferability of habitat suitability criteria of juvenile Atlantic salmon (Salmo salar),Atlantic salmon,rearing,Finland,"cobble, but doesn't address cover more generally/meaningfully","substrate classified into size bins, dominant size class visually determined in quadrats below fish","methods varied by river - one river was a snorkel survey, the others were electrofishing","smaller salmon preferred finer substrate (large pebbles to boulders), larger salmon preferred coarser substrate (cobbles to boulders)","depth (larger fish use deeper water), substrate size classes depending on fish size, habitat availability (""river-specific differences in habitat use and suitability by salmon mainly reflect a concurrent change in habitat availability among the rivers"")",maybe - only insofar as it is proof that a lot of habitat suitability work considers substrate but not other forms of cover,1a,
,LA,4,04_kennedy_2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,"Atlantic salmon, brown trout","rearing (fry, parr)",Northern Ireland,"boulders, cobble","substrate classified into 5 categories (modified Wentworth; ""stream bed cover""), boulders described by size and density of placement","semi-quantitative electrofishing  (5-min timed samples with single-anode backpack); metric was number of 0+ fish per 5 min; also measured fork length
also quantitative electrofishing (stop netted section with a minimum of 3 passes); density estimates created with Zippin removal method",deflector sites with the greatest substrate heterogeneity had the greatest fish density; boulder sites had fewer fish but still more than control sites,"enhanced substrate heterogeneity (mechanisms are territory availability, hydraulic refuge, predator cover), general habitat enhanced (restoration in this research was in degraded, channelized areas), immigration/redistribution (enhanced sites may provide habitat for downstream migrants rather than increasing local recruitment)","yes - good treatment of boulders, explicitly focused on restoration actions",3a,
,LA,5,05_braaten_1997,10.1002/(SICI)1099-1646(199707)13:4<345::AID-RRR445>3.3.CO;2-0,Development and evaluation of bioenergetic-based habitat suitability criteria for trout,"rainbow trout, cutthroat trout",rearing,"Wyoming (Green River, Dirtyman Fork)",N/A - cover discussed narratively in describing sites but not given any treatment beyond that,N/A - cover not meaningfully defined or quantified,"radiotelemetry with bidirectional loop antenna and triangulation for rainbow trout (accurate to 2.7m circular radius), visual observation (from bank and snorkeling) for cutthroat trout",N/A - not evaluated,"profitable velocity - feeding efficiency changes with fish size, affecting optimal velocities and energy balance; desirable depth (combined with profitable velocity) important and infrequent for cutthroat, prompting fish to occupy suboptimal locations due to depth restrictions; substantial individual variation observed",no,1a,
,LA,6,06_wilbur_2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,"Atlantic salmon, brook trout","rearing (parr), adults","New Brunswick, Canada","substrate (divided into 20-cm width bins), vegetation, woody debris",not directly quantified; wrapped into a composite substrate index created with Instream Flow Incremental Methodology,"snorkel surveys conducted during ""high temperature"" events, fish locations and behavior (stationary vs. feeding) noted, fish length estimated",N/A - not evaluated; study's focus was thermal refugia,"cold water refugia availability (sought by brook trout of all sizes when ambient temp >21C and salmon parr when ambient temp >25C), deep water availability for large-bodied fish, velocities in certain ranges; no substrate preferences observed",no,1a,3c
,LA,7,07_brown_2024,10.1080/24705357.2022.2162987,"Chinook Salmon habitat evolution following river restoration, drought, and flood",Chinook salmon (fall run),"spawning, rearing","Merced River, California",N/A - cover discussed narratively in describing site but not given any treatment beyond that,N/A - cover not meaningfully defined or quantified,snorkeling (redd surveys),N/A - not evaluated,habitat restoration creating more suitable habitat; important design features included flow reversals with riffle pool maintenance mechanism embedded in design,no,1a,
,LA,8,08_ahmadi-nedushan_2006,10.1002/rra.918,A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,"N/A - review paper, multiple species discussed but no particular focus",N/A,N/A - review paper,"cover mentioned as habitat variable in HSI models but isn't the main focus; studies reviewed considered general ""cover,"" woody debris, substrate composition, vegetation)","N/A - mentions cover as categorical variable in some models and percentage coverage in others, but no detailed protocols",N/A - discusses presence/absence and abundance data across studies but provides no detailed field protocols,N/A - not directly addressed; paper focuses on statistical methodology rather than ecological mechanisms,"most frequently significant variables are depth, velocity, temperature, substrate composition; woody debris was significant in some studies; cover area/percentage important for some species; spawning substrate important","yes - an interesting discussion of statistical methods for assessing habitat suitability, challenges common basic methods that assume independence despite common multicollinearity",5,
,LA,9,09_conallin_2010,10.1080/15715121003714936,Habitat suitability indices development in Denmark: are international indices applicable under small lowland stream conditions?,brown trout,rearing (large parr),Denmark,N/A - not discussed,N/A - cover not meaningfully defined or quantified,"varied by paper - predominantly electrofishing, but some snorkeling as well",N/A - not evaluated,depth and velocity within suitable species-specific ranges,yes - good discussion of the degree to which HSIs transfer (or not) across geographies and how selecting an HSI computational method for a given location should be done,5,1a
,LA,10,10_boessow_2021,10.1002/aqc.3431,Spawning habitat suitability for coastal cutthroat trout: Microhabitat and mesohabitat,cutthroat trout (coastal),spawning,"Skookum Creek, Washington",N/A - substrate discussed but not really a discussion of cover,N/A - cover not meaningfully defined or quantified,"weekly redd surveys accompanied by site characterization (depth, velocity, substrate, position)",N/A - not evaluated,"proximity to hydraulic controls, RRD (0.05-0.10), depth (21-24cm), velocity (61-64 cm/s), and medium gravel substrate",maybe - discusses how habitat suitability should be characterized with variables across nested spatial scales,1a,
,LA,11,11_naman_2020,10.1002/nafm.10411,Exploitation of Velocity Gradients by Sympatric Stream Salmonids: Basic Insights and Implications for Instream Flow Management,"coho salmon, steelhead trout",rearing,"Coquitlam River, British Columbia","boulders, cobble, wood","N/A - not measured directly; instead, velocity gradients are estimated, including those created by cover",snorkeling (accompanied by estimates of body length and in situ velocity measurements),cover creates velocity refuges which allow feeding in faster water volumes while minimizing energy costs; effect stronger for steelhead,energetically favorable microhabitats created by velocity heterogeneity; interspecific competition drives habitat partitioning,not sure,2ai,1bii
,LA,12,12_moniz_2021,10.1002/rra.3855,Chinook salmon rearing habitat-discharge relationships change as a result of morphodynamic processes,Chinook salmon,rearing,"Yuba River, California","vegetation, cobble substrate, human-built structures (rip-rap, cement), bedrock, weirs, bridge piers","binary presence/absence in 0.91-m rasters; vegetation from LiDAR, structures from aerial imagery + field reconnaissance; cover HSC applied to classify suitability; changes tracked as loss/gain/no change between years",N/A - not directly measured; habitat suitability modeling based on previously developed/validated HSCs for the river (see cited Moniz et al. 2020),not the primary driver - depth and velocity were more important; cover included in HSC model but results focus on depth/velocity changes; vegetative cover changes explained little habitat loss; cover provides structural complexity but hydraulic changes (from geomorphic evolution) had greater influence on fry habitat suitability,"morphodynamic processes (floodplain erosion) led to increased depth/velocity, which in turn produced habitat loss at high flows; habitat stable at baseflow despite channel changes","yes - includes a temporal component for habitat suitability work and highlights that habitats evolve over time; long-term flow requirements must account for geomorphic evolution, not assume static relationships",1biv,2d
,LA,13,13_roni_2023,10.1002/tafs.10399,A comparison of methods for estimating juvenile salmon habitat capacity to assist with restoration planning and evaluation,Chinook salmon (spring run),rearing,"Grande Ronde River, Oregon","wood, boulders",cover used as scalar variables (multipliers) in UCM model (UCM uses cover as unit-level scalars that adjust capacity upward/downward from baseline); wood data from aerial drone imagery; boulder and wood cover assessed during visual habitat surveys,capacity methods use existing density databases rather than direct observation in the reach but recent snorkel surveys provided validation counts,"not directly tested but incorporated into model assumptions, since cover was treated as capacity-modifying factor in UCM;  boulder cover and fine sediment scalars had greatest impact on capacity estimates; boulder cover below baseline reduced capacity in most subreaches",N/A - study focused on methodology comparison rather than fish presence/behavior drivers; habitat area and fish density data identified as main drivers of estimate differences between methods,yes - cover had a positive relationship with capacity,"3a, 5",
,LA,14,14_jelovica_2024,10.1016/j.ecolind.2024.111832,Atlantic salmon habitat-abundance modeling using machine learning methods,Atlantic salmon,"rearing (fry, parr)","Teno River, Finland","cobble, stone, boulders, plants, ""other shade""","categorical classification for substrate types (5 categories by size) and shade types (2 types); presence/absence for vegetation types (3 types); numerical shelter index based on visual assessment of interstitial spaces at three measurement points per transect (point samples at edges and middle of each transect); measured at 0.25 m˛ points (0.5 x 0.5 m) on three transects per site; variables treated as predictors in machine learning models (SVR, RF, GB, SVC); min-max normalization applied; Pearson correlation coefficients calculated",single-pass electrofishing (no removal estimates) counted as number of fish per 100 m2 (abundance density); conducted July-October at permanent monitoring sites established as part of long-term program,"substrate, shade, and vegetation combination showed strongest predictive power for abundance (SVR R˛ = 0.58, GB R˛ = 0.6); shelter index alone showed moderate correlation with parr (PCC = 0.48) but not fry; individual cover variables showed limited predictive power","combination of substrates, shades, and vegetation most predictive; mean velocity, mean depth, and shelter index important; study emphasized modeling methodology over ecological mechanisms; data quality and feature selection identified as critical drivers of model performance",yes - cool methods! and treated cover directly,3a,
,LA,15,15_favrot_2018,10.1002/tafs.10011,Fall and Winter Microhabitat Use and Suitability for Spring Chinook Salmon Parr in a US Pacific Northwest River,Chinook salmon (spring run),rearing (parr),"Catherine Creek, Oregon","large wood (<= 10cm diameter), small wood (<10cm diameter), rootwad, emergent aquatic vegetation, submerged aquatic vegetation, terrestrial vegetation, undercut bank, boulder; also used substrate size (Wentworth) but didn't consider (larger) substrate as form of cover","categorical ""dominant cover type"" - presence/absence, then cover categorized, then recorded distance from cover (capped at 2 m); cover “associated” with fish occurrence if within 2m of the triangulated fish location",radiotelemetry with weekly daytime mobile tracking; fish locations determined via tracking/triangulation and then microhabitat variables measured at occupied sites,"cover is strong predictor of use; relative to other cover types, use was 7.5x more likely for rootwads, 6.5x for large wood, and 4.1x for undercut banks; use increased as distance to cover decreased (negative coefficient on distance-from-cover); reach gradient also implicated - large wood/undercut bank/rootwad as top cover in moderate-gradient and large wood as top in low-gradient","influential factors were depth (nonlinear), mean column velocity (negative; slower favored), substrate categories (e.g., cobble favored; silt less favored except more in winter), distance to cover (closer favored), and cover categories (rootwad/large wood/undercut bank favored)",yes - direct attention to cover,3a,
,LA,16,16_heggenes_1990,10.1111/j.1095-8649.1990.tb04325.x,"Seasonal and spatial microhabitat selection and segregation in young Atlantic salmon, Salmo salar L., and brown trout, Salmo trutta L., in a Norwegian river","Atlantic salmon, brown trout",rearing (parr),"River Gjengedalselva, Norway","submerged structures, undercut banks, overhanging vegetation, surface turbulence; cover treated through a lens of functional concealment more than aligned with a structural typology","percent cover estimated visually at each transect point, recorded in increments of 10%, then converted into a cover class variable",snorkeling to determine fish locations (habitat variables then measured at fish holding locations); winter surveys included electrofishing,cover shows relatively weak influence compared to velocity and depth; PCA results indicate cover explains less variance than hydraulic variables (cover was secondary driver); both species used a narrow range of cover values,"water velocity was strongest driver; also depth; substrate and cover were secondary drivers of presence with limited explanatory power; that said, authors emphasized seasonal and spatial variability",yes - direct attention to cover,3a,
,LA,17,17_pacheco_2018,10.1002/nafm.10243,Update to the Toe-Width Methodology: Determining Preferred Discharges for Spawning and Rearing Salmonids,"steelhead trout, Chinook salmon, pink salmon, chum salmon, coho salmon, sockeye salmon, cutthroat trout , rainbow trout, mountain whitefish, bull trout, Dolly Varden","spawning, rearing",Washington,"""cover"" as a general idea (part of PHABSIM/RHABSIM transects)",unclear; it is just named as an input to PHABSIM/RHABSIM (part of transects),N/A,N/A,N/A,no - this article is about identifying replicable ways to estimate toe bank width for discharge estimation purposes and not directly about cover (or habitat suitability that includes an assessment of cover),1a,
,LA,18,18_guay_2000,10.1139/cjfas-57-10-2065,Development and validation of numerical habitat models for juveniles of Atlantic salmon (Salmo salar),Atlantic salmon,rearing (parr),"Sainte-Marguerite River, Quebec",N/A - cover discussed narratively but not treated directly,N/A - cover not meaningfully defined or quantified,"snorkeling to determine fish locations (""home rocks"") and densities; physical conditions assessed at these ""home rocks"" sites",N/A - not evaluated; mildly inferred through attention to substrate size (provision of refuge),"primary drivers of presence and density were velocity, depth, and substrate size (D50)",no? - cover not treated directly; depends on how we want to treat substrate as cover (providing velocity refuge),2ai,1a
,LA,19,19_wondzell_2007,10.1016/j.landurbplan.2006.10.012,"Simulating riparian vegetation and aquatic habitat dynamics in response to natural and anthropogenic disturbance regimes in the Upper Grande Ronde River, Oregon, USA","Chinook salmon, steelhead trout","all - migration, spawning, rearing (summer, winter)","Grande Ronde River, Oregon","large wood, undercut banks, riparian vegetation (hardwoods), riparian canopy (shade)",not measured empirically - incorporated via state-and-transition models (STMs) in a qualitative ranking (none/low/moderate/high),"not directly measured - habitat use is inferred in modeling through channel condition variables and lifestage-specific habitat suitability rankings; model outputs are percent stream length in each suitability class, not fish density or occupancy","cover is central to modeled juvenile habitat quality - pools with structure, large wood, and undercut banks are key drivers of summer and winter rearing suitability; loss of riparian vegetation and wood reduces cover, pool abundance, and shade, thereby sharply degrading rearing habitat","primary modeled drivers are large wood abundance, pool frequency and structure, riparian vegetation, channel stability and sediment, off-channel habitat availability",yes - interesting work on long-term evolution of habitat response to disturbance and land use changes with cover treated explicitly in modeling,5? this paper was purely modeling (process-based),1b
,LA,20,20_beecher_2002,10.1577/1548-8675(2002)022<0785:EODAVP>2.0.CO;2,Evaluation of depth and velocity preferences of juvenile coho salmon in Washington streams,coho salmon,"rearing (subyearling, yearling)","Western Washington (four different creeks/rivers - three for habitat preference development, one for validation)",N/A - cover discussed narratively in intro and discussion but not explicitly described or classified,N/A - cover not meaningfully defined or quantified,snorkeling to determine fish locations (where physical habitat variables of depth and velocity are then measured),N/A - not evaluated,"primary drivers identified were depth, velocity, and the interaction between depth and velocity",no,1a,3c
,LA,21,21_ahmadi-nedushan_2008,10.1002/rra.1059,Instream flow determination using a multiple input fuzzy-based rule system: A case study,Atlantic salmon,"spawning, rearing","Romaine River, Quebec",substrate (not really cover?),"substrate diameter (mm) quantified through visual assessment + fuzzy membership functions (qualitative suitability - low, medium, high) created through expert elicitation",N/A,N/A,N/A,"yes - helpful discussion of HSI development and methods for computation in the intro (but no treatment of cover, so maybe no)",1a,
,LA,22,22_harrison_2011,10.1029/2009WR008926,"Channel dynamics and habitat development in a meandering, gravel bed river",Chinook salmon,"spawning, rearing","Merced River, California","N/A - cover not treated directly; instead, it's discussed implicitly in point bars, channel margins, and (absence of) undercut banks; riparian vegetation and woody cover appear absent at the site","N/A - cover not meaningfully defined or quantified; cover is framed as an emergent property of geomorphic and hydraulic processes, not a categorical habitat feature","not directly measured for rearing - habitat is assessed via modeled depth and velocity fields, HSIs, and flow-complexity metrics; spawning HSI evaluated against mapped redds",N/A - not evaluated,"velocity, depth, velocity gradients/flow complexity, channel morphology (pools, bars, constrictions)",no,1a,
,LA,26,26_barber_2018,10.2495/EI-V1-N3-390-400,Uncertainty in minimum instream flow requirements for streams in semi-arid environments,"""anadromous and endangered fish species"" - salmon (species not specified), steelhead, bull trout","spawning, rearing, holding","Touchet River, southeastern Washington","substrate; undercut bank, overhanging vegetation, root wad, log jam/submerged brush pile, logs parallel to bank, aquatic vegetation, short terrestrial grass, tall terrestrial grass, vegetation beyond the bankfull water edge",N/A,"measurements at redds and visual surveys of rearing and holding (but this isn't really specified, as it is not core to the paper's thesis)","cover influence is specified as a cover presence value in the range [0, 1] for each life stage",N/A,yes - nice table of cover preference values,1b,
,LA,38,38_ibbotson_1994,10.1111/j.1365-2400.1994.tb00157.x,Spatial and temporal distribution of fish in a small lowland stream,"brown trout, Atlantic salmon, grayling, dace, roach, pike, eel",unclear,"East Stoke Millstream (River Frome), England",substrate,"visual assessment of substrate size category, percent instream cover, percent outstream cover (each site sampled 8 times over the course of the study)",electrofishing  to determine number of fish present,no significant relationship between substrate size and salmon or instream or outstream cover percentage and salmon; significant positive correlation between trout and outstream cover percentage and substrate size,"salmon and trout presence negatively correlated with depth and positively correlated with velocity and width-to-depth ratio; trout positively correlated with trout and outstream cover percentage and substrate size; notably, fish presence (i.e., local abundance) at a site varied widely over short time periods (<1 month)",yes - it actually quantifies cover,3a,
,LA,39,39_bair_2019,10.5194/esurf-7-841-2019,Quantifying the restoration success of wood introductions to increase coho salmon winter habitat,coho salmon,rearing,"Mill Creek, Oregon","large wood, substrate (not really cover?)","large wood length and diameter (then used to model local water velocities and resulting area of suitable fish habitat), substrate D50",N/A,N/A,N/A,yes - interesting discussion of the impacts of large wood on velocities and microhabitat availability,"2b, 3b",
,LA,42,42_chalmers_2023e,10.1371/journal.pwat.0000069,Application of watershed-scale habitat modeling and decision-support tools for reservoir reoperations in coastal northern California,"Chinook salmon, steelhead trout","immigration, spawning, incubation, fry rearing, juvenile rearing, emigration","Three Creeks watershed, South Bay, California","large cobble, medium cobble, boulder, root mass, large woody debris, bedrock ledges, undercut bank","areal percent cover, areal percent substrate embeddedness, areal percent suitable substrate from field surveys at 39 points of interest",N/A,N/A,N/A,not sure - cover is only addressed as an input to a multi-objective optimization model for water supply management decisions,1b,
,LA,43,43_tullos_2014,10.1007/s10641-014-0362-4,"Fish use of turbulence around wood in winter: physical experiments on hydraulic variability and habitat selection by juvenile coho salmon, Oncorhynchus kisutch",coho salmon,rearing,"experimental channels, Oregon",large wood,large wood length and diameter (though this was not the variable of interest; water velocities and their local variability/turbulence was the main variable of interest),"videogrammetry to capture fish locations and movement patterns in the experimental channel, then comparison of the observed distribution of fish across different hydraulic habitat conditions to a null model based on their availability, using a chi-square goodness of fit test to assess whether fish select habitats in proportion to their availability",N/A,"""the observed available distributions suggested that, during winter conditions and without foraging opportunities, fish selected areas of greater depth, low velocities, and low but not minimum turbulence intensity and flow field deformation, and close to wood""",yes - interesting discussion of the impacts of large wood on velocities and microhabitat availability,3a,
,LA,44,44_conallin_2014,10.1051/kmae/2014006,Daytime habitat selection for juvenile parr brown trout (Salmo trutta) in small lowland streams,brown trout,spawning,Denmark,"""solid cover"" (boulders, wood and log jams, undercut banks), ""reduced visibility cover"" (water surface tension), ""no cover""","""Substrate composition and cover was visually assessedwithin a 0.25 m x 0.25 m square. S-values were registered according to a modified Wentworth scale with assessment of the relative proportion of each of the categories: boulder (diameter(Ř) > 256 mm), cobble (Ř = 64–256 mm), pebble (Ř = 16–63 mm), gravel (Ř = 2?15 mm),sand (Ř = 0.06–1 mm), and silt (Ř < 0.06 mm). Cover (C) was registered as present or absent according to three main categories; solid cover (i.e. boulder, wood and log jams, undercut bank) (SOL), reduced visibility cover (water surface tension)(REV), and no cover (NC)""",electrofishing  to determine locations of fish,parr show a preference for coarser substrates and solid cover,"water depth was found to be the most significant variable for daytime habitat selection, with cover and substrate also being important",yes? the article is an explicit habitat suitability study that quantifies and establishes the importance of cover as a habitat selection variable,3a,
,LA,48,48_mclaren_2024,10.1007/s10750-024-05671-7,The reach-scale biogeomorphic effect of submerged macrophytes on trout habitat suitability,rainbow trout,"subadult (young-of-year excluded), adult","Snake River, Idaho","submerged macrophytes, emergent margins, substrate (not really cover?)","percent coverage of submerged macrophytes, macrophyte growth height as absolute and as a percentage of maximum depth","snorkel surveys, radio telemetry data, visual wading surveys; habitat preference was quantified using the Chesson’s alpha electivity index","higher macrophyte coverage created distinct habitat types (e.g., macrophyte clumps) that had higher Net Rate of Energy Intake (NREI) (indicating enhanced growth potential) by reducing flow velocities and increasing invertebrate drift","habitat dynamics are primarily driven by submerged macrophyte coverage acting as a ""biogeomorphic"" force; the quality of drift-feeding habitat (NREI) is determined by the balance between energy gain (invertebrate drift density, food availability) and energetic costs (metabolism, foraging, and maintaining position in current/velocity)",yes - the article investigates the habitat suitability and quantified preference of fish in relation to a specific type of cover (submerged macrophytes),3a,
,LA,56,56_boudreault_2022,10.1016/j.ecolmodel.2022.109905,A new look at habitat suitability curves through functional data analysis,Atlantic salmon,rearing,"Sainte-Marguerite River and Petite-Cascapedia River, Quebec",substrate,substrate D50,single-pass open net electrofishing surveys in habitat patches where fish were observed,N/A,N/A,yes? narrative review content is helpful (much discussion of models),1a,
